Protein.Name	log2FC.HeLa	log2FC.Fibroblasts	adj.p.val.HeLa	adj.p.val.Fibroblasts	p.val.HeLa	p.val.Fibroblasts	is.sign.HeLa	is.sign.Fibroblasts	conf.int.HeLa	conf.int.Fibroblasts
ALG1_HUMAN	0,883384360280462	1,0504882795676	0,0030481875386952	0,00149552121471921	0,000792619865426881	0,000271912948130766	+	+	0,268117320557326	0,242030292570994
ALG10_HUMAN	-0,960319737509377	-1,04737784452269	0,000337475459256531	0,00288771955063816	3,06795872051391e-05	0,00118133981617016	+	+	0,127268675791069	0,352786497091629
ALG11_HUMAN	0,0444241680740602	0,904911334262175	0,709261725328951	0,00209867851360434	0,644783386662683	0,000572366867346639	-	+	0,247799380874595	0,252432386501592
ALG12_HUMAN	0,179004550372006	0,120669987064064	0,186924517224281	0,564779958502495	0,161434810330061	0,513436325911359	-	-	0,289742228925143	0,467769843576013
ALG13_HUMAN	0,534516212422814	-0,573254615657944	0,00858920762186647	0,0439109513808308	0,00544269746321	0,0279433326968923	+	+	0,271424536276391	0,471745512607341
ALG2_HUMAN	0,688009924165622	2,05590746953278	0,00589388287253267	0,000507406069571925	0,00294694143626633	4,61278245065386e-05	+	+	0,295430028284652	0,301967685017742
ALG3_HUMAN	2,31426762492368	0,438737564596327	0,000302608019512537	0,0879561877889436	1,37549099778426e-05	0,0639681365737772	+	-	0,250655704290907	0,479543556874557
ALG5_HUMAN	-0,258815035609505	0,245726634495102	0,0178980676677426	0,0879561877889436	0,012203227955279	0,0615295629062378	+	-	0,165375583267089	0,264756418924794
ALG6_HUMAN	0,419771057434256	-1,53503481693444	0,00418903744096105	2,40672934576238e-05	0,00171369713493861	1,09396788443745e-06	+	+	0,155948789431297	0,0881312462152436
ALG7_HUMAN	0,0104901941403509	0,142134728722962	0,956179600688225	0,200701028499565	0,912716891566033	0,155087158386027	-	-	0,249559414880865	0,225552933389268
ALG8_HUMAN	0,442036200150524	-1,26725204760266	0,00713228669778939	0,00302380367331544	0,00389033819879421	0,00137445621514338	+	+	0,204660265801249	0,44416432470359
ALG9_HUMAN	0,225441277783334	0,720318658508019	0,0693906711682466	0,00288771955063816	0,0567741855012926	0,000991422303741199	-	+	0,235886996716215	0,231749273946878
DPM1_HUMAN	0,233321377152973	0,121046407091027	0,0454556985908773	0,298556927160142	0,0330586898842744	0,244273849494661	+	-	0,202756793744687	0,246390171860839
DPM3_HUMAN	0,205347242365981	0,0553527140015303	0,0488891851782468	0,423831156819258	0,0377780067286452	0,366035999071178	+	-	0,186516524508653	0,150893763537932
DPY19L1_HUMAN	-0,243956429891487	0,87623616401825	0,0030481875386952	0,0263631701464907	0,000843555380694558	0,0155782369047445	+	+	0,0752526378571416	0,601885497427891
POMT2_HUMAN	-1,77302903125455	-0,0762188179237462	0,00858920762186647	0,859006655827526	0,00546585939573321	0,819960898744456	+	-	0,901396307835354	0,870868680651896
RFT1_HUMAN	-0,78173530383938	-0,716169675750547	0,000699445390893913	0,014539452349292	0,000127171889253439	0,00793061037234108	+	+	0,14840996630771	0,404165079733744
RPN1_HUMAN	0,275669558160159	0,82568781584345	0,00401252821457191	0,00197443320949396	0,00145910116893524	0,000448734820339537	+	+	0,0981534308732194	0,216322736163663
STT3A_HUMAN	-0,570171455903611	0,84440938771163	0,000501099870665398	0,000621398391157784	6,83318005452816e-05	8,47361442487888e-05	+	+	0,0924840644916485	0,144629281403898
STT3B_HUMAN	0,614926299687739	0,911205664114058	0,0030481875386952	0,00288771955063816	0,0009698778532212	0,00112993393570595	+	+	0,196709761590128	0,303362555915564
TMTC3_HUMAN	0,265720018026456	1,08794365328202	0,0047619553909135	0,00712421606140643	0,00216452517768795	0,00356210803070321	+	+	0,105038149257509	0,491764650691192
